study_status,sponsor,enrollment,study_type,study_design,study_duration_days,sex_all,sex_female,sex_male,has_child,has_adult,has_older_adult,phase1,phase2,phase3,funder_fed,funder_indiv,funder_industry,funder_network,funder_nih,funder_other,funder_other_gov,funder_unknown,missing_start_date,missing_primary_completion_date,missing_completion_date
0,9,580,0,118,549.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,620,0,118,376.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
0,9,580,0,118,419.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,9,0,47,1401.0,True,False,False,0,1,1,1,1,0,False,False,False,False,False,True,False,False,0,1,1
1,9,10,0,150,2228.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,5,296,0,118,2039.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
1,9,105,0,118,1400.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,160,0,118,1005.0,False,True,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,0,0
0,9,60,0,169,274.0,True,False,False,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,0,0
1,9,46,0,115,1401.0,True,False,False,0,1,0,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,26,0,64,1401.0,True,False,False,1,1,1,0,1,1,False,False,False,False,False,True,False,False,0,1,1
0,9,270,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
0,9,300,0,124,433.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,30,0,128,1461.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,400,0,159,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
1,9,70,0,118,458.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,88,0,118,519.0,True,False,False,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,0,0
0,9,300,0,124,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
1,9,144,0,106,207.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,597,0,124,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
0,9,618,0,124,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
1,9,150,0,106,1401.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,1,1
