NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06767735,A Phase III Clinical Study to Assess the Efficacy and Safety of GZR4 in Insulin-naive Subjects with Type 2 Diabetes Mellitus (T2DM),https://clinicaltrials.gov/study/NCT06767735,,NOT_YET_RECRUITING,"This study will be conducted to compare the efficacy, safety and patient-reported outcome of once-weekly GZR4 and once-daily Insulin Glargine U100 with Non-Insulin Antidiabetic Agents in Insulin-naive Subjects with Type 2 Diabetes Mellitusin.",NO,Diabetes,DRUG: GZR4|DRUG: Insulin Glargine U100,"Change in HbA1c, From baseline (week 0) to week 26","Change in HbA1c, From baseline (week 0) to week 52|hypoglycaemia events, From baseline (week 0) to week 26/52|adverse events, From baseline (week 0) to week 26/52|Change in weight, From baseline (week 0) to week 26",,Gan & Lee Pharmaceuticals.,,ALL,"ADULT, OLDER_ADULT",PHASE3,580,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,GZR4-T2D-301,2025-02-14,2026-02-02,2026-08-17,2025-01-10,,2025-01-10,,
NCT06767748,A Phase III Clinical Study to Assess the Efficacy and Safety of GZR4 in Subjects With Type 2 Diabetes Mellitus Treated With Basal Insulin,https://clinicaltrials.gov/study/NCT06767748,,RECRUITING,"This study will be conducted to compare the efficacy, safety and patient-reported outcome of once-weekly GZR4 and once-daily Insulin Degludec with or without Non-Insulin Antidiabetic Agents in subjects with Type 2 Diabetes Mellitus (T2DM) treated with basal insulin.",NO,Diabetes,DRUG: GZR4|DRUG: insulin degludec,"Change in HbA1c, From baseline (week 0) to week 26","hypoglycaemia events, From baseline (week 0) to week 26|adverse events, From baseline (week 0) to week 26|Change in weight, From baseline (week 0) to week 26",,Gan & Lee Pharmaceuticals.,,ALL,"ADULT, OLDER_ADULT",PHASE3,620,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,GZR4-T2D-302,2025-02-17,2026-02-07,2026-02-28,2025-01-10,,2025-04-04,"Gan & Lee Pharmaceuticals Shandong Co., Ltd., Linyi, Shandong, 276000, China",
NCT06767761,A Phase III Clinical Study to Assess the Efficacy and Safety of GZR4 in Type 2 Diabetes Mellitus Subjects (T2DM) Treated with Basal + Prandial Insulin,https://clinicaltrials.gov/study/NCT06767761,,NOT_YET_RECRUITING,"This study will be conducted to compare the efficacy, safety and patient-reported outcome of once-weekly GZR4 and once-daily Insulin Glargine U100 in Combination with Insulin Aspart (with or without Non-Insulin Antidiabetic Agents) in Subjects with Type 2 Diabetes Mellitus (T2DM) Treated with Basal+Prandial Insulin Treatment",NO,Diabetes,DRUG: GZR4|DRUG: Insulin Glargine U100 group,"Change in HbA1c, From baseline (week 0) to week 26","hypoglycaemia events, From baseline (week 0) to week 26|adverse events, From baseline (week 0) to week 26|Change in weight, From baseline (week 0) to week 26",,Gan & Lee Pharmaceuticals.,,ALL,"ADULT, OLDER_ADULT",PHASE3,580,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,GZR4-T2D-303,2025-02-14,2026-03-19,2026-04-09,2025-01-10,,2025-01-10,,
NCT06305286,"Safety, Tolerability, and Efficacy of Immunomodulation With A Monoclonal Antibody Against CD40L in Combination With Transplanted Islet Cells in Adults With Brittle Type 1 Diabetes Mellitus (T1D)",https://clinicaltrials.gov/study/NCT06305286,,RECRUITING,"AT-1501 is a monoclonal antibody. Antibodies are Y-shaped proteins that are produced naturally by the subject's immune system to attack and fight foreign substances that cause illness. Monoclonal antibodies are man-made proteins manufactured to serve as substitute antibodies to fight diseases. Monoclonal antibodies can restore, enhance, or mimic (copy) the immune system's attack process; they can also tone down the immune system. AT-1501 is thought to work by dampening down the immune system so that it will be less likely to attack the transplanted cells. For other types of transplants, like kidney, a drug called a calcineurin inhibitor is usually used to prevent rejection. That class of drugs can be toxic to islet cells. AT-1501 is an experimental agent that is anticipated to prevent rejection without harming the islet cells.",NO,Diabetes Mellitus,DRUG: AT-1501,"Number of Participants who are insulin-independent post- first and final transplant, Day 75 and Day 365","Number of Participants with glycosylated hemoglobin (HbA1c) <7.0%, at Day 365","Number of Participants with free of serious hypoglycemic events (SHEs) post-first and final transplant, Day 28 to Day 365|Number of Participants with HbA1c ≤6.5% AND free from SHEs post-first and final transplant., at Day 365 and from Day 28 through to Day 365|Number of Participants with graft failure post final transplant., Day 365|Number of participants with impaired awareness of hypoglycemia after final islet cell transplant and after discontinuation of AT-1501., Day 75 and 365, 1-3 years|Change in glycemic lability after final islet cell transplant and years after discontinuation of AT-1501, Day 75 and 365, 1-3 years|Change in albumin excretion ratio (AER) post-first and final transplant., Day 365|Change in estimated glomerular filtration rate (eGFR) post-first and final transplant., Day 365|Change in percent new macroalbuminuria post-first and final transplant., Day 365|Change in variability after final islet cell transplant and years after discontinuation of AT-1501, Day 75 and 365, 1-3 years",University of Chicago,Juvenile Diabetes Research Foundation|Cure Alliance,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,9,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,IRB23-1367,2024-03-04,2029-03,2029-03,2024-03-12,,2024-09-19,"University of Chicago, Chicago, Illinois, 60637, United States",
NCT06727721,Safety and Efficacy of OCN19-overexpressed Human Umbilical Cord-derived Mesenchymal Stem Cells in the Treatment of Refractory Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT06727721,,RECRUITING,"Umbilical cord mesenchymal stem cell injection expressing OCN19, while playing the role of MSCs, can directly stimulate the expression of insulin gene and the division and proliferation of islet beta cells, which is expected to further enhance the therapeutic effect of stem cells. In non-clinical studies, it was found that MSCs expressing OCN19 had better hypoglycemic effect than MSCs",NO,Diabetes|Type 2 Diabetes,BIOLOGICAL: mesenchymal stem cells with OCN-19|BIOLOGICAL: Mesenchymal stem cells|BIOLOGICAL: albumin injection,"Daily insulin dose is used, From enrollment to 1 month, 3 months, 6 months and 1 year after treatment","Changes in Fasting Blood Glucose Levels Over Time, Fasting Blood Glucose (FBG) Definition: Blood sugar levels measured after fasting for at least 8 hours. Methods of measurement: Blood samples are determined using standardized laboratory analytical methods.

Unit: Expressed in mg/dL (mg/dL). Time point: Measurements were taken at baseline, 12 and 24 weeks post-treatment.

Goal: The target fasting blood glucose level in the study was \<100 mg/dL., From enrollment to 1 month, 3 months, 6 months and 1 year after treatment|Concentration of Hemoglobin A1c in Participants, Definition: The proportion of hemoglobin bound to glucose that reflects average blood sugar levels over the past 2-3 months.

Methods of measurement: Blood samples were analyzed using high performance liquid chromatography (HPLC).

Unit: Expressed in percentage (%). Time point: Measurements were taken at baseline, 12 and 24 weeks post-treatment.

Target: The target HbA1c level in the study was \<7.0%., From enrollment to 3 months, 6 months and 1 year after treatment|Concentration of fasting c-peptide in Participants, Definition: Clarify the definition of fasting C-peptide, which usually refers to the level of C-peptide measured in the fasting state, C-peptide is a by-product of insulin synthesis and reflects the function of islet beta cells.

Measurement methods: Describe specific methods used to measure C-peptide, such as enzyme-linked immunosorbent assay (ELISA) .

Units: Usually expressed in picmole/liter (pmol/L) or nanogram/milliliter (ng/mL)., From enrollment to 1 month, 3 months, 6 months and 1 year after treatment|Concentration of Glycated albumin in Participants, Definition: The proportion of albumin bound to glucose, reflecting the average blood sugar level over the past 2-3 weeks.

Methods of measurement: Blood samples were analyzed using immunoassays. Unit: Expressed in percentage (%), From enrollment to 1 month, 3 months, 6 months and 1 year after treatment|Concentration of 2-hour postprandial C-peptide in Participants, Definition: 2-hour postprandial C-peptide refers to the level of C-peptide measured 2 hours after eating, C-peptide is a by-product of insulin synthesis, reflecting the function of islet beta cells and insulin secretion capacity.

Methods of measurement: Blood samples are analyzed using standardized methods such as enzyme-linked immunosorbent assay (ELISA) or radioimmunoassay (RIA).

Units: Usually expressed in picomoles per liter (pmol/L) or nanograms per milliliter (ng/mL)., From enrollment to 1 month, 3 months, 6 months and 1 year after treatment|Concentration of total cholesterol in Participants, Definition: Total cholesterol is the sum of all cholesterol in the blood, including low-density lipoprotein cholesterol (LDL-C), high-density lipoprotein cholesterol (HDL-C), and very low-density lipoprotein cholesterol (VLDL-C). Total cholesterol level is an important indicator of cardiovascular health.

Methods of measurement: Blood samples are tested using standardized blood chemical analysis methods, usually enzymatic or chemical.

Unit: Usually expressed in milligrams per deciliter (mg/dL).

Target value: The normal range of total cholesterol in the study is usually:

Ideal level: \<200 mg/dL Marginal high levels: 200-239 mg/dL High level: ≥240 mg/dL, From enrollment to 1 month, 3 months, 6 months and 1 year after treatment|Concentration of LDL in Participants, Low Density Lipoprotein Cholesterol (LDL-C) Definition: Low-density lipoprotein cholesterol (LDL-C) is a major form of cholesterol transport in the blood and is often referred to as ""bad cholesterol."" High levels of LDL-C are associated with an increased risk of cardiovascular disease, atherosclerosis, and other cardiovascular events.

Methods of measurement: Blood samples are tested using standardized blood chemical analysis methods, usually enzymatic or chemical.

Unit: Usually expressed in milligrams per deciliter (mg/dL).

Target values: The normal range of LDL-C in studies is usually:

Ideal level: \<100 mg/dL Near ideal/borderline high l, From enrollment to 1 month, 3 months, 6 months and 1 year after treatment",,Lu jin ，MD,,ALL,"ADULT, OLDER_ADULT",PHASE2,10,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",CHEC2023-226,2023-11-06,2028-12-12,2029-12-12,2024-12-11,,2024-12-17,"Changhai Hospital, Shanghai, China",
NCT06946628,New Triple Therapy in Newly Diagnosed Type 2 Diabetes,https://clinicaltrials.gov/study/NCT06946628,,NOT_YET_RECRUITING,"The goal of this clinical trial is to learn the efficany of combination therapy with semaglutide, empagliflozin and pioglitazone versus standard therapy in newly diagnosed type 2 diabetes. The main objectives to achieve are:

1. To compare efficacy of the triple combination therapy against standard therapy in achieving type 2 diabetes remission in patients newly diagnosed with T2DM.
2. To compare the effects on β-cell function and glycemic control of the triple combination therapy against standard therapy in patients newly diagnosed with T2DM

Researchers will compare drug new triple combination therapy with semaglutide, empagliflozin, and pioglitazone to standard therapy (metformin-based treatment) to see if new triple combination therapy works better in achieving type 2 diabetes remission .

Participants will:

1. Take new triple combination therapy or a standard therapy every day for 6 months
2. Visit the clinic once every 0.5-1 month for checkups and tests
3. Keep a diary of their fingertip blood glucose and adverse events",NO,Diabetes Mellitus,DRUG: Group A (triple combination therapy group)|DRUG: Group B (standard therapy group),"Diabetic remission rate, Diabetic remission rate at 6 months after discontinuation of medication (percentage of patients with HbA1c \<6.5% at 6 months after discontinuation of medication), 6 months after discontinuation of medication","Diabetic remission rate, Diabetic remission rate at 3 and 12 months after discontinuation of medication and the time of diabetic remission, 3 and 12 months after discontinuation of medication|Time required to achieve glycemic goal, The time required to achieve glycemic goal(FBG \<6.1mmol/L, 2h PPG \<8.0mmol/L or HbA1c\<6.5%), 6 months of medication|EQ-5D-5L questionnaires, quality of life, EQ-5D-5L questionnaires, assessment of quality of life. The EQ-5D-5L essentially consists of 2 pages: the EQ-5D descriptive system and the EQ visual analogue scale (EQ VAS).

The descriptive system comprises five dimensions: mobility, self-care, usual activities, pain/discomfort and anxiety/depression. Each dimension has 5 levels: no problems, slight problems, moderate problems, severe problems and extreme problems.

The EQ VAS records the patient's self-rated health on a vertical visual analogue scale where the endpoints are labelled 'The best health you can imagine' and 'The worst health you can imagine'. The VAS can be used as a quantitative measure of health outcome that reflects the patient's own judgement., At baseline, at 6 months of medication treatment, and at 3, 6, and 12 months after discontinuation of medication|Incremental cost per additional remission, Incremental cost per additional remission at 6 months after discontinuation of medication, 6 months after discontinuation of medication|HbA1c, HbA1c level at baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication, baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication|Blood glucose level, Fasting and 2-hour postprandial blood glucose level at baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication, baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication|Blood insulin level, Fasting and 2-hour postprandial insulin level at baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication, baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication|Blood C-peptide level, Fasting and 2-hour postprandial C-peptide level at baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication, baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication|Pancreatic β-cell function, HOMA-B at baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication, baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication|Insulin resistance, HOMA-IR at baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication, baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication|Weight changes, Weight at baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication, baseline, at 6 months of medication, and at 3, 6, and 12 months after discontinuation of medication|Time in range (TIR), Time within the target blood glucose range (3.9-10.0 mmol/L), At baseline, at 6 months of medication treatment, and at 6 months after discontinuation of medication|Incremental cost per additional improvement in Time in Range (TIR), Incremental cost per additional improvement in Time in Range (TIR) at 6 months of medication treatment, and at 6 months after discontinuation of medication, 6 months of medication treatment, and at 6 months after discontinuation of medication|Incremental cost per QALY gained, Incremental cost per QALY gained, derived from EQ-5D-5L assessments at baseline, at 6 months of medication treatment, and at 3, 6, and 12 months after discontinuation of medication, at baseline, at 6 months of medication treatment, and at 3, 6, and 12 months after discontinuation of medication",,Sun Yat-sen University,,ALL,"ADULT, OLDER_ADULT",PHASE3,296,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,New Triple-2025,2025-06-01,2028-12-31,2030-12-31,2025-04-27,,2025-04-27,"The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, 510080, China",
NCT06762314,Efficacy and Safety of Empagliflozin or Semaglutide in Overweight/Obese Patients With Type 1 Diabetes,https://clinicaltrials.gov/study/NCT06762314,,RECRUITING,"Type 1 Diabetes (T1DM) is a disease characterised by immune mediated destruction of the insulin-producing pancreatic beta cells. Overtime, obvious insulin deficiency develops which requires insulin therapy. T1DM accounts for about 5% to 10% of diabetes cases in Europe and United States. Currently, worldwide incidence is estimated to be around 15 per 100,000 people per year. Despite the advancement that has occurred in the field diabetes therapy, patient with T1DM still suffer from managing their disease as well as continuing to face diabetes related complications. The American Diabetes Association (ADA) recommend a goal of glycated haemoglobin (HbA1c) of \< 7%. However, only 21% of adults in the United States has achieved this recommended goal. Once again, a multinational, multicentre study shows that only 24.3% of participants achieved the glycaemic target of HbA1c less than 7.0 %. Unfortunately, intensifying the insulin therapy in order to reach the targeted HbA1c can result in serious adverse effects of hypoglycaemia and weight gain which is in its turn is known risk factor for cardiovascular disease.",NO,Diabetes,DRUG: Insulin|DRUG: Semaglutide|DRUG: Empagliflozin,"The primary outcome of this trial is the change in glycated haemoglobin from baseline after 3 months of treatment., The primary outcome of this trial is the change in glycated haemoglobin from baseline after 3 months of treatment., 3 months",,,Mostafa Bahaa,"Meshal Saud Alotaibi, Senior Clinical Pharmacist, King Salman Speicialist Hospital-Hail, K.S.A.|Tanta University",ALL,"ADULT, OLDER_ADULT",PHASE2,105,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,Tanta 145,2025-01-20,2027-09-20,2028-11-20,2025-01-07,,2025-02-25,"Tanta Unuversity, Tanta, 31527, Egypt",
NCT06619301,RCT Glargine vs NPH for Treatment of DM in Pregnancy,https://clinicaltrials.gov/study/NCT06619301,,RECRUITING,"We are asking you to take part in this research study because you are diagnosed with pregestational Type 2 Diabetes Mellitus or Gestational Diabetes Mellitus requiring insulin therapy in pregnancy. Currently, many hospitals differ among use of insulin for management of DM in pregnancy, with NPH, glargine and detemir being the most commonly used forms of basal insulin. Outside of pregnancy, NPH is rarely used with glargine and determir being the more common forms of insulin used due to their fewer episodes of hypoglycemia in these patients. Detemir has been well studied in pregnancy and found to be noninferior to NPH. Unfortunately, glargine has not been as well studied in pregnancy. Thus, with this study we want to compare glargine and NPH.

The purpose of this study is to compare two different forms of insulin (Glargine and NPH) that we regularly use to manage diabetes mellitus in pregnancy.",NO,"Diabetes Mellitus in Pregnancy|Type 2 Diabetes Mellitus (T2DM)|Gestational Diabetes Mellitus, Class A2",DRUG: Insulin glargine|DRUG: insulin NPH,"Hypoglycemia, Episodes of hypoglycemia with blood glucose less than 60 mg/dL, From initiation of insulin therapy to delivery","Large for Gestational Age, Birth weight greater than or equal to the 90th percentile for gestational age, At delivery|Shoulder dystocia, Diagnosed by delivering providing, At delivery",,Loyola University,,FEMALE,"ADULT, OLDER_ADULT",PHASE3,160,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,217918,2024-04-01,2026-04-01,2027-01-01,2024-10-01,,2024-10-01,"Loyola University Medical Center, Maywood, Illinois, 60153, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/01/NCT06619301/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/01/NCT06619301/ICF_001.pdf"
NCT06847178,Efficacy and Safety of LC-Z300-01 in Chinese With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT06847178,,NOT_YET_RECRUITING,This trial is conducted in China. The aim of the trial is to investigate the efficacy and safety of an Bamboo cane polysaccharide (oral LC-Z300-01) in subjects with type 2 diabetes.,NO,Diabetes|Type 2 Diabetes,DIETARY_SUPPLEMENT: Placebo twice daily in blinding|DRUG: Low-dose LC-Z300-01 twice daily in blinding|DRUG: High-dose LC-Z300-01 twice daily in blinding|DRUG: High-dose LCZ300-1 twice daily in open-label,"Number of treatment emergent adverse events, The differences in adverse events between the patients taking the drug and the placebo group were observed during the double-blind and open-label phases., From baseline week 0 to week 26|Change in glycated haemoglobin (HbA1c), During the double-blind and open-label phases, the changes in dynamic blood glucose and CGMS values of patients taking the medication compared with the baseline were observed and compared with those in the placebo group., From baseline week 0 to week 12 and to week 24","Change in Time in Range (TIR), During the double-blind and open-label phases, the changes in dynamic blood glucose and CGMS values of patients taking the medication compared with the baseline were observed and compared with those in the placebo group., From baseline week 0 to week 12 and to week 24",,Shanghai Changzheng Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",LC-Z300-01,2025-03-01,2025-10-31,2025-11-30,2025-02-26,,2025-02-26,"Shanghai Changzheng Hospital, Shanghai, Shanghai, 20003, China",
NCT06430125,Nephroprotective Effect of Nicorandil in Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT06430125,,RECRUITING,This study aims to evaluate the possible nephroprotective effect of nicorandil in patients with type 2 diabetes mellitus .,NO,Type2 Diabetes Mellitus,DRUG: Nicorandil 10 MG Oral Tablet,"prevention of progression of kidney disease as measured by KDIGO., Patients wii undergo clinical assesment for progression of diabetic nephropathy as measured by KDIGO at baseline and after 12 weeks, 12 weeks","change in the serum concentrations of Kidney injury molecule 1(Kim-1)., Venous blood will be collected before treatment and after 12 week ., 12 weeks|change in the serum concentrations of Interleukin 18 (IL-18)., Venous blood will be collected before treatment and after 12 week ., 12 weeks|change in the serum concentrations of Nitric oxide (NO)., Venous blood will be collected before treatment and after 12 week ., 12 weeks",,Tanta University,,ALL,ADULT,PHASE3,46,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,Nicorandil Nephroprotective,2023-02-28,2025-02,2025-02,2024-05-28,,2024-05-28,"Tanta University, Tanta, EL Gharbia, Egypt",
